time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.8000000000000012,-3.58257856123,0.601367904561,0.0,4.08627316327,3.74806983539,0.0,-4.72813181458,0.341520718494,-4.30255150357,2.43499083178,2.43517465001,0.0,138.675563432,96.8099929773,395.563613148,332.726367906
0.23999999999999996,-0.105463106735,0.013476202076,0.0,0.569919465772,1.58704822885,0.0,-1.45253010095,0.138568651188,-0.900442777956,1.97316750084,2.81293148159,0.0,389.711007114,394.018587861,408.927679247,433.250236851
0.23999999999999996,-0.0311437085635,0.0596781821199,0.0,0.849308510483,0.426962341881,0.0,-0.490832418916,0.901923848156,-0.235261887976,1.96551709414,1.0739857422,0.0,410.192779131,404.086498701,440.178180626,442.203577456
1.740000000000001,-3.44602712995,0.52395874203,0.0,3.7993007303,3.5589584163,0.0,-4.9278963968,0.0870369915493,-4.06257818553,2.66842576022,2.41735182845,0.0,150.124360491,108.737821927,396.707536891,339.96124154
0.23999999999999996,-0.105329606296,0.0136581862077,0.0,0.571711684058,1.58437392097,0.0,-1.45094792277,0.140887920437,-0.897298334477,1.97082091145,2.81468056954,0.0,389.222456108,393.727156772,409.177786319,433.210570977
0.23999999999999996,-0.0310058274367,0.0595375494354,0.0,0.848302364685,0.42610489972,0.0,-0.488580580682,0.899577000797,-0.236911255859,1.96065976316,1.07522954741,0.0,409.449317436,403.316681255,439.841003343,441.764448944
0.23999999999999996,-0.0353828431679,0.0427908150972,0.0,1.18438929584,1.46452796601,0.0,-0.826044250852,0.505196114143,-0.762264963641,3.30816170227,2.73852607698,0.0,379.850661775,393.234191436,422.096970722,451.496849508
0.23999999999999996,-0.035328473491,0.0425313415926,0.0,1.17817406358,1.46260469272,0.0,-0.825006272042,0.503132593385,-0.759455204649,3.29472095708,2.7373445919,0.0,379.415274353,393.359722323,422.090095793,451.313399822
1.740000000000001,-3.37407452066,0.801999899029,0.0,3.89033814281,3.74220859061,0.0,-4.71849119131,0.465479459021,-4.07885469819,2.85161584761,2.82596239316,0.0,143.877643535,112.073808236,392.558040888,343.09567645
0.23999999999999996,-0.105251547066,0.0136229090942,0.0,0.57284544432,1.58421609698,0.0,-1.44987354224,0.140556184939,-0.898441890396,1.97997257147,2.8038606777,0.0,389.443714365,393.400893142,408.836589571,433.138395099
0.23999999999999996,-0.0311254558886,0.0593369590336,0.0,0.843703891042,0.426465739223,0.0,-0.490439571142,0.896875190375,-0.231466013684,1.95671666467,1.07020847535,0.0,410.195328732,404.107187182,439.802442132,442.216832588
0.23999999999999996,-0.105039100377,0.0138100572084,0.0,0.570718379879,1.57423060036,0.0,-1.44840881954,0.144460855713,-0.888509420997,1.97420812612,2.77816865573,0.0,390.249965204,393.821763179,408.823912508,433.126699363
0.23999999999999996,-0.0354734501384,0.0426276105698,0.0,1.18219604608,1.46862675319,0.0,-0.827671962928,0.502156951395,-0.761080149365,3.30233775371,2.7490039957,0.0,379.582038648,393.6327412,422.349189254,451.50030005
0.23999999999999996,-0.0311704053572,0.0592460324058,0.0,0.841897031606,0.427268653607,0.0,-0.491251841629,0.895668080848,-0.229927224851,1.94460927736,1.08069845992,0.0,410.281247389,404.546618079,440.159162588,441.96352367
0.23999999999999996,-0.0310329102866,0.0595544592527,0.0,0.847939485576,0.425938510154,0.0,-0.489002693882,0.899945130627,-0.235453290683,1.96129946972,1.07116683937,0.0,409.981878451,403.73277516,439.756217482,441.721191233
1.740000000000001,-3.35066707787,0.748432758623,0.0,3.89441228366,3.71530763506,0.0,-4.72106814017,0.414596697314,-4.04286177105,2.86759921509,2.76842601801,0.0,144.77827123,111.801109683,392.934454338,342.475832039
1.740000000000001,-3.5223157936,0.415381037566,0.0,3.72804770853,3.49977463327,0.0,-5.03218605845,-0.103112811445,-4.09700172654,2.54580409457,2.242973401,0.0,153.20609328,107.075032876,398.142772983,338.92435567
0.23999999999999996,-0.105453236099,0.0133240493404,0.0,0.564385431494,1.58944625834,0.0,-1.45201611266,0.136469646673,-0.902785550977,1.94744966552,2.81773171042,0.0,389.642059521,394.115470259,409.198472016,432.299769121
0.36000000000000004,-0.209046183927,0.0221698348961,0.0,0.722058581143,1.7538709232,0.0,-2.01247243705,0.119282960264,-1.37677263159,2.26551715944,2.77778659639,0.0,376.13516998,381.071497437,405.275327538,430.990329856
0.23999999999999996,-0.0353358395068,0.0432104953009,0.0,1.19874988335,1.46459894827,0.0,-0.824370082722,0.50966668799,-0.765530170766,3.3343194822,2.73868952397,0.0,378.494432102,392.227048819,421.792512428,451.566942227
1.740000000000001,-3.49466975145,0.621144653048,0.0,3.78485707025,3.51592334423,0.0,-5.01963493617,0.230116341283,-4.05354711062,2.63607689606,2.41558436235,0.0,151.337729896,110.129005903,397.487573623,342.423406448
0.23999999999999996,-0.0310564896508,0.0594569809483,0.0,0.848477069784,0.426818965777,0.0,-0.489504365912,0.898816820085,-0.238831168243,1.96397494743,1.07907466206,0.0,409.771519566,404.112235356,439.59698799,441.368223435
0.23999999999999996,-0.105092924007,0.0134884293578,0.0,0.562994047553,1.58149018301,0.0,-1.44861278883,0.139771990283,-0.896095919936,1.94338305011,2.80192091763,0.0,389.871085986,393.822493809,409.237088317,432.39408852
0.23999999999999996,-0.10540799117,0.0134732080193,0.0,0.566641004622,1.58626965843,0.0,-1.4517804504,0.138591441544,-0.899838511639,1.95271612445,2.80591558871,0.0,389.576176911,393.500343676,409.554215633,432.797183212
